label,prec,rec
信用卡数量限制,1.00,1.00
公司优势,0.97,0.97
合作银行,1.00,1.00
审核时间,1.00,0.88
客户提意见,1.00,0.95
客服不专业,1.00,0.97
已在使用,0.00,0.00
已有贷款,0.89,1.00
征信差或无资产,1.00,1.00
提交材料,1.00,0.98
是否上征信,1.00,1.00
是否机器人,1.00,1.00
是否真实,0.86,0.96
爱国爱党,1.00,1.00
私人信息,0.94,1.00
考虑,0.89,1.00
解释信用贷款,1.00,1.00
解释厘,1.00,0.82
解释省呗,0.96,1.00
询问信息来源,1.00,1.00
询问公司名称或地址,1.00,0.92
询问分期,1.00,1.00
询问利息,1.00,0.76
询问利率,0.87,1.00
询问如何还款,1.00,1.00
询问客服名字,1.00,1.00
询问手续费,1.00,0.87
询问抵押,1.00,1.00
询问是否安全,1.00,1.00
询问联系方式,1.00,0.67
询问贷款现金,1.00,0.93
询问贷款速度,0.82,0.82
询问身份或来意,0.87,0.98
询问额度,0.97,1.00
贷款速度快,0.86,1.00
软件怎么下载,1.00,1.00
额度是否循环,1.00,1.00
