item,freq
你,446
我,329
是,302
么,253
吗,249
的,223
这,179
们,159
什,137
不,133
有,128
多,119
个,111
怎,107
问,103
一,102
能,98
下,95
少,89
边,87
款,85
以,85
哪,85
可,83
要,82
说,74
信,70
想,67
用,66
在,66
还,62
期,62
里,61
话,59
现,57
公,51
那,50
司,50
度,44
听,44
钱,44
请,43
人,43
贷,42
借,41
金,41
会,41
好,39
额,38
没,38
需,34
产,32
品,32
到,31
逾,30
利,30
道,30
息,29
知,29
行,28
去,27
银,26
给,26
骗,26
接,26
申,25
省,25
都,24
审,23
就,23
得,23
分,23
如,22
影,22
费,22
核,21
前,21
响,21
卡,21
高,21
服,20
提,20
您,20
题,19
吧,19
办,19
最,19
再,19
号,19
真,18
家,18
方,18
零,18
样,17
动,17
呗,17
后,17
机,17
看,17
网,17
电,17
来,16
久,16
料,16
哦,16
时,16
率,16
他,15
全,15
几,15
谁,15
移,15
查,15
征,15
过,15
太,15
子,15
对,15
干,14
安,14
客,14
地,14
果,14
载,14
介,13
绍,13
些,12
材,12
专,12
注,12
发,12
低,12
否,12
点,12
作,12
码,12
件,12
之,12
欠,11
务,11
工,11
解,11
册,11
够,11
处,11
东,11
联,11
式,11
官,11
讲,11
嗯,11
软,11
五,11
嘛,10
啥,10
间,10
为,10
线,10
业,10
付,10
器,10
只,10
幺,10
使,9
手,9
浦,9
候,9
觉,9
喂,9
系,9
限,9
求,9
快,9
八,9
大,8
结,8
资,8
算,8
证,8
本,8
跟,8
其,8
比,8
考,8
虑,8
续,8
见,8
位,8
保,7
何,7
被,7
记,7
？,7
打,7
西,7
做,7
通,7
账,7
名,7
男,7
上,7
清,7
内,6
p,6
抵,6
押,6
国,6
收,6
根,6
才,6
等,6
便,6
经,6
块,6
儿,6
宽,6
把,6
址,6
长,6
支,6
六,6
份,6
放,6
假,5
障,5
爱,5
姓,5
吃,5
成,5
升,5
合,5
叫,5
理,5
万,5
事,5
微,5
朋,5
友,5
诉,5
备,5
直,5
告,5
找,5
楚,5
张,5
定,5
懂,5
元,5
性,4
质,4
循,4
环,4
七,4
优,4
计,4
流,4
程,4
差,4
也,4
扣,4
退,4
回,4
答,4
外,4
饭,4
立,4
代,4
路,4
急,4
正,4
很,4
山,4
字,4
种,4
面,4
恩,4
帮,4
心,4
百,4
诈,4
别,4
钟,4
泄,4
年,4
身,4
从,4
出,4
房,3
a,3
加,3
预,3
贵,3
管,3
表,3
宜,3
规,3
搞,3
先,3
十,3
已,3
缴,3
连,3
与,3
起,3
厘,3
卖,3
宝,3
又,3
拿,3
具,3
体,3
像,3
董,3
单,3
露,3
花,3
自,3
员,3
但,3
游,3
该,3
月,3
操,3
弄,3
生,3
女,3
区,3
无,3
婚,2
势,2
党,2
录,2
增,2
法,2
中,2
受,2
监,2
怕,2
短,2
漏,2
源,2
声,2
音,2
住,2
和,2
重,2
余,2
感,2
开,2
新,2
向,2
聊,2
称,2
呼,2
所,2
参,2
气,2
隐,2
车,2
投,2
批,2
然,2
意,2
写,2
设,2
掉,2
置,2
认,2
交,2
准,2
次,2
目,2
继,2
肯,2
相,2
询,2
旅,2
实,2
进,2
二,2
民,2
谈,2
建,2
四,2
千,2
两,2
刚,2
完,2
惠,2
它,2
谢,2
物,1
课,1
门,1
范,1
围,1
奥,1
跳,1
舞,1
容,1
般,1
因,1
毛,1
却,1
更,1
留,1
户,1
口,1
基,1
非,1
形,1
明,1
白,1
常,1
充,1
奶,1
茶,1
私,1
速,1
普,1
妈,1
未,1
力,1
玩,1
填,1
恢,1
复,1
轻,1
松,1
盗,1
密,1
营,1
厅,1
装,1
修,1
拒,1
居,1
或,1
者,1
特,1
慢,1
简,1
距,1
离,1
远,1
案,1
识,1
较,1
捷,1
框,1
学,1
历,1
选,1
择,1
挺,1
情,1
恁,1
嘞,1
淘,1
热,1
麻,1
烦,1
o,1
s,1
姐,1
析,1
致,1
走,1
曾,1
水,1
着,1
企,1
反,1
每,1
取,1
状,1
况,1
唱,1
歌,1
汇,1
g,1
条,1
绑,1
今,1
持,1
部,1
稍,1
三,1
象,1
卷,1
小,1
姑,1
娘,1
制,1
空,1
供,1
士,1
章,1
矩,1
近,1
剩,1
积,1
林,1
平,1
台,1
返,1
喜,1
欢,1
脑,1
随,1
龄,1
入,1
债,1
独,1
醒,1
哥,1
恋,1
遍,1
概,1
哇,1
拍,1
照,1
控,1
构,1
免,1
标,1
签,1
调,1
咨,1
换,1
胜,1
任,1
观,1
望,1
己,1
激,1
活,1
